call_id,subject,call_created_at,call_duration,location,call_type,agent_name,customer_name,transcript,summary,sentiment_score,issue_category,resolution_status
00ffcd90-ccf8-4c5e-bc41-c15a76c67ee4,Customer Service Call - Booking Issue,2025-06-02T07:13:54.638Z,403,feelgoodspasdetroit,inbound,Olivia Martinez,Ethan Williams,"Olivia Martinez: Thank you for calling Feel Good Spas support, this is Olivia Martinez. How can I help you today?
Ethan Williams: Hi Olivia, I'm having an issue with my recent spa appointment booking.
Olivia Martinez: I'm sorry to hear that, Ethan. Can you please provide me with the name the appointment was booked under and the date and time you scheduled?
Ethan Williams: Sure, it was booked under Ethan Williams for a couples massage on July 20th at 2 PM. I received a confirmation email but when I checked again today, the appointment seems to have disappeared from my online account.
Olivia Martinez: Okay, Ethan, let me just check that for you. One moment please... Ah, I see the issue. It looks like there was a system glitch that removed the appointment. I have re-entered the appointment for you and sent a confirmation email. I've also added a complimentary aromatherapy upgrade to your massage for the inconvenience. Does that work for you?
Ethan Williams: Wow, that's fantastic, Olivia! Thank you so much for your help and the upgrade. I really appreciate it!","Customer's spa appointment disappeared from the system due to a glitch. The support agent successfully rebooked the appointment and added a complimentary aromatherapy upgrade, resolving the issue to the customer's satisfaction.",0.8,booking issue,resolved
0b37ef2b-b975-4bc4-a19a-d27abce67ed7,Customer Service Call - Booking Reschedule/Refund Request,2025-06-02T07:25:45.883Z,556,feelgoodspasdetroit,inbound,Liam Rodriguez,Olivia Martinez,"Liam Rodriguez: Thank you for calling Feel Good Spas support, this is Liam Rodriguez. How can I help you today?
Olivia Martinez: Hi Liam, I'm having an issue with my recent spa appointment booking. I booked a couples massage for my anniversary next week, but now something came up and I need to reschedule. The website won't let me change it, and it says I can't get a refund.
Liam Rodriguez: Okay, Olivia. Let me pull up your booking. Ah, I see it here. Unfortunately, that particular massage package has a strict 72-hour cancellation/reschedule policy, and your appointment is in 48 hours. As stated in the terms and conditions you agreed to at the time of booking, rescheduling or refunds are not possible within that timeframe.
Olivia Martinez: But that's ridiculous! It's an emergency, and I can't just lose that money. Is there anything at all you can do? Maybe a credit or something? I'm a regular customer!
Liam Rodriguez: I understand your frustration, Olivia, but unfortunately, my hands are tied. The policy is very clear, and I'm unable to override it. I apologize for the inconvenience.","Olivia Martinez contacted support to reschedule a couples massage within the 72-hour cancellation window and was denied due to company policy, resulting in customer dissatisfaction.",-0.5,rescheduling,unresolved
0f744c5d-1007-411a-8319-cb7711aa1c25,Feel Good Spas Support - Appointment Rescheduling,2025-06-08T01:17:07.643Z,979,feelgoodspasdetroit,inbound,Feel Good Spas Customer Service,Olivia Benson,"Sarah: Thank you for calling Feel Good Spas. This is Sarah, how can I help you today?
Olivia: Hi Sarah, this is Olivia Benson. I'm calling to see if I can reschedule an appointment I have for next week.
Sarah: Certainly, Ms. Benson. Can you give me the date and time of your current appointment?
Olivia: Yes, it's for next Tuesday, the 18th, at 2:00 PM for a 60-minute Swedish massage with Emily.
Sarah: Okay, Ms. Benson. Let me check Emily's availability. Just one moment... Okay, Emily is available on Wednesday the 19th at 3:00 PM. Does that work for you?
Olivia: Yes, that Wednesday at 3:00 PM would be perfect. Thank you!
Sarah: Great! I've rescheduled your appointment for Wednesday, the 19th at 3:00 PM with Emily. Is there anything else I can assist you with today?
Olivia: No, that's all. Thank you so much, Sarah!
Sarah: You're very welcome, Ms. Benson. Have a wonderful day!
Olivia: You too. Goodbye.","Olivia Benson called to reschedule her massage appointment. The customer service representative, Sarah, was able to reschedule her appointment from Tuesday, the 18th at 2:00 PM to Wednesday, the 19th at 3:00 PM with the same therapist, Emily. The customer confirmed the new appointment time and thanked Sarah for her assistance.",0.5,rescheduling,resolved
10d5d9df-0c92-4fa2-a8c7-7d64a6f44c1a,Customer Service Call - Booking Issue,2025-06-02T07:12:08.302Z,249,feelgoodspasdetroit,inbound,Theodore Garcia,Penelope Miller,"Theodore Garcia: Thank you for calling Feel Good Spas support, this is Theodore Garcia. How can I help you today?
Penelope Miller: Hi Theodore, I'm having an issue with my recent spa appointment booking. I booked a couples massage for this Saturday at 2 PM, confirmation number is BG78923, and when I called the spa directly to confirm, they said they have no record of it.
Theodore Garcia: Okay, Ms. Miller, let me pull up that confirmation number... I see the booking here, but it appears there was a system error and the appointment was not successfully transmitted to the spa location's schedule. Unfortunately, they are fully booked this Saturday and Sunday. The next available couples massage is next Tuesday at 10 AM.
Penelope Miller: Tuesday? That doesn't work for us at all! We specifically booked for Saturday because it's our anniversary. This is unacceptable. We made plans around this! Is there absolutely nothing you can do? This seems like a major error on your end, and I'm very disappointed. I guess I'll have to go somewhere else for our anniversary massage. Thanks for nothing.",Customer is upset that a couples massage booking was not transmitted to the spa and no alternative options are available for their anniversary. The customer remains unsatisfied and will seek services elsewhere.,-0.7,booking issue,unresolved
1696eeb5-ed56-44c2-b60a-a7d5b7f910ea,Customer Service Call - Appointment Rescheduling,2025-06-02T07:13:36.161Z,524,feelgoodspasdetroit,inbound,Liam Garcia,Olivia Hernandez,"Liam Garcia: Thank you for calling Feel Good Spas support, this is Liam Garcia. How can I help you today?
Olivia Hernandez: Hi Liam, I'm having an issue with my recent spa appointment booking. I booked a couples massage for this coming Saturday, but I just realized I double-booked myself with another engagement. Is there any way I could reschedule?
Liam Garcia: I'm sorry to hear that, Olivia! Let me pull up your booking. Okay, I see your couples massage for Saturday. Absolutely, we can reschedule. Let me check our availability for other times that day or perhaps another date that works for you. How does the following Sunday at the same time sound?
Olivia Hernandez: Sunday would be perfect! Thank you so much for your help, Liam!
Liam Garcia: You're very welcome, Olivia! I've successfully rescheduled your couples massage for Sunday at the same time. You should receive a confirmation email shortly. Is there anything else I can assist you with today?
Olivia Hernandez: No, that's all. Thank you again for your excellent service!
Liam Garcia: You're welcome! Have a relaxing spa day! Goodbye.",The customer needed to reschedule their spa appointment due to a double booking. The support agent successfully rescheduled the appointment to a more convenient time.,0.6,rescheduling,resolved
17519386-1f09-409e-a176-9fa0b8f8270f,Customer Service Call - Booking Issue,2025-06-02T07:06:28.293Z,601,feelgoodspasdetroit,inbound,Emma Williams,Liam Garcia,"Emma Williams: Thank you for calling Feel Good Spas support, this is Emma Williams. How can I help you today?
Liam Garcia: Hi Emma, I'm having an issue with my recent spa appointment booking.
Emma Williams: Okay, I can certainly help with that. Could you please provide me with your booking reference number or the name and date the appointment was booked under?
Liam Garcia: Sure, the booking is under Liam Garcia for the 15th of July. I was supposed to have a deep tissue massage but when I arrived I was told it was booked as a Swedish massage. I went ahead with it but I'd prefer the deep tissue next time.
Emma Williams: I apologize for the error in your booking, Liam. I can note your preference for a deep tissue massage for your next appointment. Unfortunately, as the service has already been completed, we can't offer a partial refund for the difference. However, I've added a note to your customer profile regarding your massage preference for future bookings to prevent this from happening again.","The customer's booking was incorrect, resulting in a different massage than requested. The agent noted the customer's preference for future bookings but couldn't offer a refund.",0.2,booking issue,resolved
20e9ffdb-d0d5-4245-8a67-d4422c00ebc1,Customer Service Call - Booking Issue,2025-06-02T07:14:56.777Z,834,feelgoodspasdetroit,inbound,Liam Garcia,Ava Rodriguez,"Liam Garcia: Thank you for calling Feel Good Spas support, this is Liam Garcia. How can I help you today?
Ava Rodriguez: Hi Liam, I'm having an issue with my recent spa appointment booking. I booked a couples massage for next Saturday, but I haven't received a confirmation email, and I'm not seeing it in my online account.
Liam Garcia: Okay, Ava, I can definitely help you with that. Can I get the name and phone number the booking would have been under?
Ava Rodriguez: Sure, it's under Ava Rodriguez, and my number is +1-555-8461.
Liam Garcia: Perfect, one moment please... Okay Ava, I see the booking here. There was a slight glitch in our system, and the confirmation email wasn't sent out. I've resent the confirmation to your email address now. Everything is set for your couples massage next Saturday! My apologies for the inconvenience. Is there anything else I can assist you with today?","The customer had not received a confirmation email for their spa appointment. The agent resolved the issue by resending the confirmation, ensuring the booking was properly registered in the system.",0.4,booking issue,resolved
21e5bd59-7216-4d52-986a-86481535d14f,Feel Good Spas Support - Membership Inquiry,2025-06-08T17:51:03.852Z,978,feelgoodspasdetroit,inbound,Feel Good Spas Customer Service,Jessica Miller,"Sarah (Feel Good Spas): Thank you for calling Feel Good Spas, this is Sarah, how can I help you today?
Jessica Miller: Hi Sarah, my name is Jessica Miller. I'm calling to inquire about your membership options.
Sarah (Feel Good Spas): Great, Jessica! I can definitely help with that. Do you have a particular location in mind that you would be using mostly?
Jessica Miller: Yes, I'm interested in the location in downtown Manhattan.
Sarah (Feel Good Spas): Okay, perfect. For our downtown Manhattan location, we have two main membership tiers: Spa Essential and Spa Premium. Are you interested in learning more about those?
Jessica Miller: Yes, please. Could you briefly explain the differences between them?
Sarah (Feel Good Spas): Certainly. The Spa Essential membership includes access to the spa facilities, such as the sauna and steam room, and access to the fitness center. The Spa Premium package includes all of that plus one massage or facial each month.
Jessica Miller: Okay, that's helpful. I think I need to look into the specific pricing online before deciding. Thanks for the information.
Sarah (Feel Good Spas): No problem at all, Jessica. You can find all the pricing details on our website at FeelGoodSpas.com. Is there anything else I can assist you with today?","Jessica Miller called Feel Good Spas to inquire about membership options at the downtown Manhattan location. Sarah explained the differences between the Spa Essential and Spa Premium membership tiers. Jessica decided to review the pricing details online and thanked Sarah for the information. The call ended without a sale, but the customer was provided with the information needed to make a decision.",0.4,membership inquiry,resolved
287e6594-4d0b-4640-8887-e51fcf705c3a,Feel Good Spas Support - Information request about accessibility features,2025-06-08T17:55:28.375Z,508,feelgoodspasdetroit,inbound,,Michael Johnson,"Sarah Miller: Thank you for calling Feel Good Spas, this is Sarah, how can I help you today?
Michael Johnson: Hi Sarah, I'm Michael Johnson. I'm looking to book a spa day, but I have a couple of accessibility questions before I commit.
Sarah Miller: Certainly, Mr. Johnson. I'd be happy to help. What are your questions?
Michael Johnson: Great. Specifically, I'm interested in the location at 123 Main Street. Is the entrance wheelchair accessible, and are there accessible restrooms available?
Sarah Miller: Okay, let me just pull up the information for our Main Street location. Please hold for just a moment while I verify that information for you.
Sarah Miller: Okay, Mr. Johnson. Yes, the entrance at our Main Street location is wheelchair accessible.
Sarah Miller: And yes, we do have accessible restrooms located near the main lobby as well as near the treatment rooms.
Michael Johnson: Perfect! That's exactly what I needed to know. Thank you so much!
Sarah Miller: You're very welcome! Is there anything else I can assist you with today?
Michael Johnson: No, that's all for now. Thanks again, Sarah. Bye!",Michael Johnson called Feel Good Spas to inquire about the accessibility features of the Main Street location. Sarah Miller confirmed that the location is wheelchair accessible and has accessible restrooms. The customer thanked Sarah and stated he had no further questions.,0.6,accessibility inquiry,resolved
2a160251-e37b-4d3f-a913-0b673bf63484,Feel Good Spas Support - Billing Inquiry,2025-06-08T00:50:21.962Z,137,feelgoodspasdetroit,inbound,,Michael Davis,"Ashley: Thank you for calling Feel Good Spas, this is Ashley, how can I help you today?
Michael: Hi Ashley, my name is Michael Davis and I'm calling about a recent charge on my credit card. It's from Feel Good Spas, but I'm not sure what it's for.
Ashley: Okay, Mr. Davis. I can certainly help you with that. Can you provide me with the last four digits of the credit card used for the transaction, please?
Michael: Sure, the last four digits are 4321. The charge was for $150 and posted yesterday.
Ashley: Thank you. One moment while I pull up your account information... Okay, I see the charge. It appears to be for a 60-minute deep tissue massage at our Midtown location on January 25th.
Michael: Ah, okay, that makes sense. That was for my wife, Sarah. I must have just missed the notification. Sorry for the trouble.
Ashley: No problem at all, Mr. Davis! Glad we could clear that up for you. Is there anything else I can assist you with today?
Michael: No, that's all. Thank you so much, Ashley!
Ashley: You're very welcome, Mr. Davis! Have a great day!","The customer, Michael Davis, called to inquire about a $150 charge from Feel Good Spas. The customer service representative, Ashley, was able to quickly identify the charge as a 60-minute deep tissue massage for the customer's wife. The customer confirmed the charge and apologized for the inquiry. The issue was resolved.",0.5,billing inquiry,resolved
